Student_ID,Hours_Studied,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Final_Marks,Result
STU058,7.1,54.3,35.3,0,7.5,54.6,Pass
STU059,5.2,88.5,58.7,1,7.9,66.0,Pass
STU060,7.0,69.8,70.1,5,8.1,73.2,Pass
STU061,9.6,49.6,47.3,6,5.6,69.0,Pass
STU062,6.8,84.0,92.0,4,6.7,65.7,Pass
STU063,0.5,88.5,78.8,5,8.8,59.5,Pass
STU064,3.1,81.9,41.3,1,7.7,44.7,Fail
STU065,5.9,97.9,40.7,7,6.1,63.1,Pass
STU066,2.4,55.4,34.3,5,5.2,35.2,Fail
STU067,9.6,54.1,70.0,3,4.4,66.1,Pass
STU068,9.5,48.8,43.1,8,6.2,71.8,Pass
STU069,8.5,72.4,68.0,2,5.5,74.2,Pass
STU070,4.7,64.0,87.4,10,6.9,73.9,Pass
STU071,8.4,61.4,91.5,5,8.9,72.8,Pass
STU072,1.3,67.6,38.1,6,4.3,37.3,Fail
STU073,3.1,56.5,53.3,6,7.2,51.5,Pass
STU074,4.6,40.3,59.2,1,5.0,49.6,Pass
STU075,7.4,68.3,56.8,4,4.7,68.6,Pass
STU076,4.7,56.6,65.5,3,8.4,52.4,Pass
STU077,1.4,67.0,62.2,8,4.7,48.0,Pass
STU078,3.4,95.7,83.0,4,4.1,67.4,Pass
STU079,3.2,50.7,51.4,6,7.1,50.6,Pass
STU080,3.0,78.2,54.0,7,8.9,58.7,Pass
STU081,1.7,78.7,57.3,0,7.6,34.8,Fail
STU082,4.1,56.9,40.6,4,7.2,48.2,Pass
STU083,4.5,68.3,74.1,7,8.5,58.5,Pass
STU084,7.7,98.2,58.0,6,7.2,68.5,Pass
STU085,8.0,60.5,94.1,6,6.8,75.6,Pass
STU086,5.2,82.7,87.5,5,6.8,79.8,Pass
STU087,4.6,90.4,46.1,0,8.2,46.2,Pass
STU088,7.8,61.6,47.0,8,6.1,67.1,Pass
STU089,8.9,99.4,84.8,5,5.9,85.5,Pass
STU090,6.7,77.6,69.2,3,5.0,64.0,Pass
STU091,8.0,70.1,30.7,2,5.6,46.4,Pass
STU092,9.4,82.9,74.1,10,6.2,100.0,Pass
STU093,0.4,65.4,57.6,4,4.1,30.9,Fail
STU094,8.8,82.7,85.0,1,5.5,75.9,Pass
STU095,2.8,56.5,82.3,4,4.0,46.9,Pass
STU096,4.8,95.6,94.6,6,4.4,59.6,Pass
STU097,8.0,72.5,79.0,9,5.7,73.6,Pass
STU098,4.7,54.5,93.9,8,6.6,67.9,Pass
STU099,1.5,66.2,49.9,10,5.5,49.1,Pass
STU100,6.6,93.7,53.7,6,8.2,73.3,Pass
STU101,0.7,88.4,34.1,0,5.3,20.7,Fail
STU102,3.6,69.1,90.7,0,5.6,50.4,Pass
STU103,8.1,61.1,40.8,2,5.0,48.7,Pass
STU104,4.3,62.6,68.6,0,6.0,55.5,Pass
STU105,6.0,98.9,65.6,3,4.8,63.1,Pass
STU106,7.3,46.7,87.0,2,5.1,60.7,Pass
STU107,8.2,93.3,57.2,10,6.4,78.8,Pass
STU108,7.6,91.5,40.0,4,4.4,71.9,Pass
STU109,0.1,53.5,56.8,5,8.5,37.6,Fail
STU110,4.2,61.0,33.4,9,6.4,54.1,Pass
STU111,4.6,74.2,51.1,3,5.9,43.6,Fail
STU112,0.6,88.1,74.1,6,4.5,38.3,Fail
STU113,5.4,97.0,34.0,8,7.0,63.5,Pass
STU114,6.1,99.5,99.3,1,6.0,63.4,Pass
STU115,8.3,56.9,67.5,9,5.0,77.3,Pass
STU116,9.4,51.5,51.0,4,7.3,67.9,Pass
STU117,1.3,69.3,88.4,3,6.4,50.6,Pass
STU118,2.3,73.5,39.6,8,8.6,50.7,Pass
STU119,6.6,79.4,52.5,0,8.4,50.6,Pass
STU120,1.3,46.5,95.6,4,5.7,47.1,Pass
STU121,2.2,78.8,46.8,9,6.0,53.3,Pass
STU122,5.7,95.3,81.3,1,8.6,65.4,Pass
STU123,1.7,94.9,35.7,7,8.8,51.5,Pass
STU124,7.8,96.6,67.3,10,8.0,80.9,Pass
STU125,8.6,95.3,76.1,9,4.4,78.4,Pass
STU126,0.3,97.6,44.7,10,4.2,48.9,Pass
STU127,5.3,42.9,52.9,2,7.1,39.7,Fail
STU128,8.0,95.0,68.5,10,7.8,74.9,Pass
STU129,9.8,56.3,71.3,4,7.5,67.8,Pass
STU130,2.7,59.2,40.8,3,7.9,36.6,Fail
STU131,1.7,67.5,58.8,4,4.8,46.9,Pass
STU132,8.8,97.3,100.0,5,4.1,93.0,Pass
STU133,9.1,76.3,65.5,9,6.8,80.6,Pass
STU134,2.0,61.2,85.0,8,8.5,60.5,Pass
STU135,4.4,62.4,44.1,9,5.3,55.7,Pass
STU136,7.2,94.3,62.3,1,4.9,57.3,Pass
STU137,8.5,89.3,66.3,10,8.4,79.4,Pass
STU138,1.7,48.3,71.7,3,5.7,32.4,Fail
STU139,6.6,54.9,80.2,9,5.8,68.6,Pass
STU140,8.1,69.15,85.7,0,7.0,74.9,Pass
STU141,5.5,53.0,79.0,1,5.3,61.2,Pass
STU142,1.6,73.8,86.5,2,8.7,52.6,Pass
STU143,0.4,53.4,92.0,3,5.0,35.3,Fail
STU144,2.8,74.5,52.8,0,4.1,40.1,Fail
STU145,8.1,96.2,87.9,8,6.2,87.3,Pass
STU146,0.4,90.9,66.4,5,6.9,44.7,Fail
STU147,0.1,46.0,48.2,3,5.4,35.2,Fail
STU148,3.6,52.4,42.1,1,7.8,30.0,Fail
STU149,0.6,64.8,83.5,0,4.3,40.8,Fail
STU150,1.5,78.8,74.6,9,5.6,62.0,Pass
STU151,0.2,63.2,35.0,8,6.2,40.3,Fail
STU152,5.2,55.1,71.1,8,8.7,65.9,Pass
STU153,7.0,60.7,33.1,2,4.7,46.3,Pass
STU154,4.3,52.2,57.4,10,4.7,56.1,Pass
STU155,1.3,91.7,70.0,7,5.0,54.7,Pass
STU156,3.3,81.8,75.5,2,7.8,46.5,Pass
STU157,5.9,64.7,41.0,4,5.5,67.5,Pass
STU158,9.4,82.0,33.1,7,5.6,69.1,Pass
STU159,9.9,71.2,70.3,4,6.8,82.2,Pass
STU160,2.4,71.6,87.3,3,6.1,57.7,Pass
STU161,0.1,62.0,85.8,10,7.1,52.0,Pass
STU162,8.3,69.3,55.2,0,6.5,56.2,Pass
STU163,9.3,99.1,70.4,1,7.5,75.8,Pass
STU164,4.6,87.1,80.3,0,8.9,58.1,Pass
STU165,7.7,89.7,91.1,1,5.7,75.6,Pass
STU166,8.7,47.5,64.4,6,5.1,57.7,Pass
STU167,6.1,70.3,91.3,1,4.7,55.9,Pass
STU168,8.7,62.0,52.2,5,6.0,70.3,Pass
STU169,0.2,45.3,45.3,9,8.6,39.0,Fail
STU170,2.7,63.7,50.6,4,5.0,49.6,Pass
STU171,2.8,44.5,81.1,8,5.8,48.9,Pass
STU172,1.2,54.0,92.0,3,8.3,45.3,Pass
STU173,9.1,87.9,63.0,3,8.4,78.5,Pass
STU174,0.3,81.2,78.7,9,7.1,54.3,Pass
STU175,6.7,81.9,39.7,10,7.8,78.7,Pass
STU176,0.7,44.8,65.5,7,8.3,62.9,Pass
STU177,3.6,49.8,60.4,7,4.4,54.3,Pass
STU178,4.2,41.3,60.2,1,6.0,48.0,Pass
STU179,1.8,45.9,43.2,7,8.6,47.3,Pass
STU180,5.2,46.1,73.6,7,6.5,67.6,Pass
STU181,4.7,97.6,77.0,8,5.0,63.2,Pass
STU182,3.2,93.6,74.5,10,6.4,72.3,Pass
STU183,7.4,52.3,82.0,2,8.0,55.9,Pass
STU184,1.6,55.2,65.5,10,8.8,64.0,Pass
STU185,1.9,97.7,89.7,8,8.2,63.5,Pass
STU186,3.5,74.2,70.0,4,6.7,55.0,Pass
STU187,3.8,62.1,91.7,3,7.4,44.9,Fail
STU188,2.1,68.0,58.7,4,4.6,42.9,Fail
STU189,9.2,56.3,79.0,8,8.8,83.1,Pass
STU190,8.3,75.0,43.8,7,7.2,65.4,Pass
STU191,1.1,83.5,35.8,10,4.1,48.8,Pass
STU192,3.7,70.9,95.2,6,8.3,63.7,Pass
STU193,2.3,89.2,56.0,0,4.6,35.2,Fail
STU194,4.5,46.8,33.2,5,6.5,34.4,Fail
STU195,2.8,76.2,73.3,7,5.2,66.8,Pass
STU196,5.0,99.4,95.3,6,5.6,69.3,Pass
STU197,9.2,48.9,83.8,7,7.4,84.9,Pass
STU198,3.8,69.7,99.1,10,4.1,70.6,Pass
STU199,6.5,77.8,95.5,8,6.6,83.5,Pass
STU200,6.0,60.3,61.9,0,5.1,44.7,Fail
STU201,7.5,97.9,46.4,1,8.4,58.1,Pass
STU202,0.6,69.1,34.6,5,5.6,38.8,Fail
STU203,7.4,68.7,49.0,2,5.7,60.3,Pass
STU204,9.5,94.2,74.3,7,6.1,90.3,Pass
STU205,6.0,41.0,93.8,6,7.9,71.3,Pass
STU206,2.9,92.1,30.1,5,6.5,47.6,Pass
STU207,6.7,47.7,87.2,9,7.6,68.4,Pass
STU208,7.1,62.8,83.5,8,7.8,68.8,Pass
STU209,6.6,69.3,78.4,10,5.7,83.3,Pass
STU210,1.5,68.6,39.0,6,5.1,44.5,Fail
STU211,9.7,42.4,33.7,1,6.4,62.4,Pass
STU212,9.6,59.0,81.6,3,6.9,68.6,Pass
STU213,4.2,61.4,74.9,5,4.1,50.5,Pass
STU214,5.9,97.4,55.9,4,4.4,63.8,Pass
STU215,0.4,95.0,54.2,2,7.4,44.3,Fail
STU216,9.9,75.1,32.3,0,8.9,64.6,Pass
STU217,8.2,96.0,99.5,2,8.7,78.9,Pass
STU218,6.4,91.8,88.6,9,5.3,69.4,Pass
STU219,7.6,62.5,98.2,4,8.3,73.4,Pass
STU220,1.9,47.0,87.3,0,7.1,41.5,Fail
STU221,3.1,76.4,62.1,5,7.3,62.2,Pass
STU222,2.5,59.4,89.2,2,8.2,52.0,Pass
STU223,6.0,40.6,43.9,7,5.9,63.5,Pass
STU224,0.9,98.9,77.1,9,8.2,60.7,Pass
STU225,9.0,98.2,46.6,0,8.1,55.1,Pass
STU226,4.6,72.2,57.5,1,4.6,46.2,Pass
STU227,4.4,77.1,91.0,2,6.9,57.0,Pass
STU228,1.0,80.1,59.7,5,6.4,49.5,Pass
STU229,6.8,95.6,92.6,5,8.3,82.9,Pass
STU230,4.7,68.1,72.0,6,5.3,70.1,Pass
STU231,6.3,75.0,50.6,10,4.8,76.9,Pass
STU232,2.4,53.6,48.2,10,5.6,52.3,Pass
STU233,7.9,54.5,30.2,3,8.8,48.6,Pass
STU234,1.5,71.3,70.0,10,4.7,51.0,Pass
STU235,8.3,53.8,88.7,1,7.9,72.0,Pass
STU236,5.8,41.8,45.7,10,5.0,53.7,Pass
STU237,2.9,62.1,63.5,10,5.1,57.5,Pass
STU238,5.1,85.0,98.9,8,8.3,81.9,Pass
STU239,6.3,56.6,57.5,4,7.0,58.3,Pass
STU240,2.6,91.8,95.7,1,4.9,60.4,Pass
STU241,8.5,82.2,87.9,2,5.1,72.5,Pass
STU242,4.2,79.2,64.6,4,6.8,50.9,Pass
STU243,8.9,69.15,74.5,1,5.4,75.1,Pass
STU244,8.4,44.4,34.6,6,6.2,53.5,Pass
STU245,1.0,50.7,66.2,1,8.2,38.5,Fail
STU246,6.5,94.6,83.2,0,6.4,70.2,Pass
STU247,3.1,94.4,46.1,3,4.5,45.7,Pass
STU248,7.5,44.7,33.6,1,6.7,48.6,Pass
STU249,5.4,86.5,32.1,4,8.8,55.9,Pass
STU250,4.6,40.9,41.2,0,8.0,42.9,Fail
STU251,9.0,48.1,46.6,8,8.0,85.1,Pass
STU252,0.6,46.6,86.4,9,6.9,59.2,Pass
STU253,5.6,57.6,62.1,4,8.5,54.7,Pass
STU254,3.3,63.3,67.5,4,7.5,54.8,Pass
STU255,0.4,94.7,51.9,5,4.5,41.6,Fail
STU256,7.5,66.2,50.9,5,7.3,69.4,Pass
STU257,5.6,47.4,68.7,5,6.4,59.0,Pass
STU258,8.9,56.3,82.2,9,5.1,84.1,Pass
STU259,6.0,40.4,42.6,6,4.0,53.2,Pass
STU260,3.4,41.7,60.4,10,4.8,44.3,Fail
STU261,9.9,65.9,75.1,5,7.9,84.7,Pass
STU262,1.2,70.7,97.2,5,5.2,42.3,Fail
STU263,0.5,55.0,48.9,0,6.3,33.7,Fail
STU264,7.3,62.8,57.5,1,7.4,53.5,Pass
STU265,3.7,46.2,69.9,1,8.5,51.2,Pass
STU266,3.6,79.5,39.9,5,6.2,55.0,Pass
STU267,8.8,63.6,72.8,8,7.5,78.9,Pass
STU268,3.3,49.7,98.2,9,7.7,55.6,Pass
STU269,8.9,69.8,49.1,2,4.4,68.6,Pass
STU270,6.4,52.5,63.6,3,6.3,45.7,Pass
STU271,3.3,57.5,38.2,9,4.4,41.7,Fail
STU272,0.6,47.5,66.3,10,7.9,48.1,Pass
STU273,2.5,86.8,98.0,8,5.7,66.1,Pass
STU274,9.7,69.15,68.0,0,8.5,74.2,Pass
STU275,4.1,97.3,44.9,5,8.8,54.0,Pass
STU276,1.6,64.3,51.8,10,8.6,51.0,Pass
STU277,3.0,49.3,73.8,4,8.3,47.6,Pass
STU278,9.0,82.3,90.0,0,8.3,80.0,Pass
STU279,1.6,84.0,61.7,2,4.4,34.7,Fail
STU280,7.8,92.9,64.3,2,5.8,70.9,Pass
STU281,1.3,47.9,86.7,8,8.9,53.1,Pass
STU282,9.6,87.4,37.4,9,8.5,79.5,Pass
STU283,5.3,91.6,96.6,3,8.6,64.2,Pass
STU284,0.4,58.3,62.5,9,7.0,43.5,Fail
STU285,9.3,67.3,53.2,6,6.5,71.7,Pass
STU286,3.6,77.2,84.5,0,4.4,55.6,Pass
STU287,7.3,54.7,48.0,5,7.5,57.6,Pass
STU288,5.2,92.3,40.3,9,6.7,72.8,Pass
STU289,0.9,82.0,48.1,9,8.8,35.2,Fail
STU290,1.1,91.4,77.1,0,4.6,53.5,Pass
STU291,1.5,67.0,37.0,5,6.0,42.2,Fail
STU292,1.6,71.1,61.6,10,6.2,47.2,Pass
STU293,0.5,51.7,46.5,6,6.0,35.2,Fail
STU294,0.5,58.8,68.2,3,4.3,41.1,Fail
STU295,9.5,83.8,39.7,5,7.6,88.0,Pass
STU296,0.9,97.5,84.2,2,7.1,53.9,Pass
STU297,5.1,49.1,94.7,9,7.1,67.8,Pass
STU298,1.2,43.0,52.4,5,4.4,34.5,Fail
STU299,2.1,44.0,54.8,4,5.3,33.1,Fail
STU300,7.6,66.1,71.9,5,5.4,75.0,Pass
